Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake
Asiatic Water Snake,Fowlea asperrima,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Rough,Olivebrown,Rounded,Tiny,Streams,Not Applicable,A freshwater snake commonly found around hill streams and marshy environments.
Fishing Snake,Xenochrophis piscator,0,Uttar Pradesh; Bihar; West Bengal; Tamil Nadu; Kerala,Muscular,Keeled,Browncheckered,Flattened,Sharp,Lakes,Not Applicable,A strong swimming snake often hunting fish and amphibians in freshwater habitats.
Smooth Water Snake,Enhydris plumbea,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Graybrown,Blunt,Minute,Ponds,Not Applicable,"A harmless aquatic snake inhabiting ponds, marshes, and slow-moving waters."
Black-headed Snake,Sibynophis subpunctatus,0,Kerala; Karnataka; Tamil Nadu; Goa,Lean,Polished,Yellowish,Blackheaded,Toothlike,Leaflitter,Not Applicable,A small non-venomous snake usually hidden beneath forest leaves and loose soil.
Indian Rock Python,Python molurus,0,Assam; West Bengal; Odisha; Maharashtra; Kerala; Karnataka; Tamil Nadu,Massive,Rough,Brownpatterned,Broad,Recurved,Grasslands,Not Applicable,"A large constrictor commonly inhabiting forests, wetlands, and rocky terrains across India."
Burmese Python,Python bivittatus,0,Assam; Arunachal Pradesh; Nagaland; Manipur,Bulky,Glossy,Tanpatterned,Triangular,Hooked,Swamps,Not Applicable,A giant non-venomous python often found near marshes and tropical forests.
Reticulated Python,Malayopython reticulatus,0,Nicobar Islands,Lengthy,Netpatterned,Goldenbrown,Elongated,Sharp,Rainforests,Not Applicable,The world's longest snake species known for its intricate net-like body patterns.
Ball Python,Python regius,0,Not Naturally Found in India,Compact,Smooth,Darkbrown,Rounded,Small,Savannas,Not Applicable,A docile python famous for curling into a tight defensive ball posture.
Sand Boa,Eryx conicus,0,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Stout,Keeled,Sandy,Blunt,Tiny,Deserts,Not Applicable,A burrowing non-venomous snake adapted for dry sandy and loose-soil habitats.
Red Sand Boa,Eryx johnii,0,Maharashtra; Gujarat; Rajasthan; Karnataka; Andhra Pradesh,Thick,Smooth,Reddish,Flattened,Minute,Scrublands,Not Applicable,A heavy-bodied burrowing snake popularly known for its reddish-brown coloration.
Rough-scaled Sand Boa,Eryx conicus,0,Punjab; Haryana; Rajasthan; Gujarat,Robust,Rough,Brown,Narrow,Small,Aridlands,Not Applicable,A nocturnal sand boa specialized for burrowing through loose dry soil.
Common Sand Boa,Gongylophis conicus,0,Maharashtra; Rajasthan; Gujarat; Tamil Nadu,Compact,Textured,Olivebrown,Short,Toothlike,Farmlands,Not Applicable,A harmless ground-dwelling boa often hidden beneath rocks and dry vegetation.
Arabian Sand Boa,Eryx jayakari,0,Not Naturally Found in India,Cylindrical,Granular,Yellowbrown,Spadelike,Tiny,Deserts,Not Applicable,A desert-adapted burrowing boa commonly inhabiting sandy Middle Eastern environments.
Dumerils Boa,Acrantophis dumerili,0,Not Naturally Found in India,Heavy,Satin,Brownblack,Wide,Curved,Dryforests,Not Applicable,A large constrictor native to Madagascar with excellent camouflage patterns.
Rubber Boa,Charina bottae,0,Not Naturally Found in India,Stubby,Rubbery,Tan,Blunt,Minute,Woodlands,Not Applicable,A slow-moving boa recognized for its smooth rubber-like skin texture and gentle nature.
Rosy Boa,Lichanura trivirgata,0,Not Naturally Found in India,Compact,Smooth,Rosy,Rounded,Small,Rocklands,Not Applicable,A colorful non-venomous boa commonly inhabiting rocky desert and scrub environments.
Madurai Shieldtail,Uropeltis madurensis,0,Tamil Nadu,Cylindrical,Smooth,Darkbrown,Rounded,Tiny,Underground,Not Applicable,A burrowing shieldtail snake endemic to the forested hills near Madurai.
Travancore Shieldtail,Uropeltis travancoricus,0,Kerala; Tamil Nadu,Compact,Glossy,Purplish,Blunt,Minute,Leaflitter,Not Applicable,A secretive underground snake inhabiting moist forests of the southern Western Ghats.
Kerala Shieldtail,Uropeltis liura,0,Kerala,Stubby,Polished,Blackish,Flattened,Small,Rainforests,Not Applicable,An endemic shieldtail snake adapted for burrowing in wet tropical soils.
Black Shieldtail,Uropeltis nigra,0,Tamil Nadu; Kerala,Short,Satin,Black,Oval,Tiny,Hillsides,Not Applicable,A dark-colored fossorial snake commonly found beneath loose forest soil.
Striped Shieldtail,Uropeltis macrorhyncha,0,Kerala; Tamil Nadu,Flexible,Striped,Brownish,Pointed,Minute,Woodlands,Not Applicable,A small burrowing snake distinguished by faint longitudinal body stripes.
Kolli Hills Shieldtail,Uropeltis shorttii,0,Tamil Nadu,Robust,Textured,Graybrown,Rounded,Small,Mountains,Not Applicable,A rare endemic shieldtail inhabiting the rocky forests of Kolli Hills.
Nilgiri Shieldtail,Uropeltis ocellata,0,Tamil Nadu; Kerala,Slender,Smooth,Oliveblack,Blunt,Tiny,Grasslands,Not Applicable,A fossorial snake native to high-elevation Nilgiri grasslands and forests.
Purple Shieldtail,Melanophidium punctatum,0,Kerala; Karnataka; Tamil Nadu,Elongated,Iridescent,Purple,Narrow,Minute,Humus,Not Applicable,A rare burrowing snake showing a glossy purple sheen under natural light.
Coorg Shieldtail,Uropeltis arcticeps,0,Karnataka; Kerala,Compact,Smooth,Darkolive,Rounded,Tiny,Plantations,Not Applicable,A burrowing shieldtail commonly found in moist soils of Coorg hill regions.
Karnataka Shieldtail,Uropeltis ceylanica,0,Karnataka; Kerala; Tamil Nadu,Cylindrical,Glossy,Brownblack,Blunt,Minute,Rainforests,Not Applicable,A secretive underground snake adapted to wet forest floor habitats.
White-spotted Shieldtail,Uropeltis dindigalensis,0,Tamil Nadu,Stubby,Spotted,Blackwhite,Flattened,Small,Hillsides,Not Applicable,A rare shieldtail distinguished by pale body spots and fossorial behavior.
Brown Shieldtail,Uropeltis woodmasoni,0,Kerala; Tamil Nadu,Short,Polished,Brown,Rounded,Tiny,Leaflitter,Not Applicable,A harmless burrowing snake inhabiting damp forest soils and leaf-covered terrain.
Speckled Shieldtail,Uropeltis maculata,0,Kerala; Karnataka; Tamil Nadu,Flexible,Speckled,Graybrown,Oval,Minute,Woodlands,Not Applicable,A small fossorial shieldtail recognized by tiny speckled markings across its body.
Indian Worm Snake,Indotyphlops braminus,0,Assam; West Bengal; Maharashtra; Kerala; Tamil Nadu,Threadlike,Smooth,Darkbrown,Blunt,Toothless,Gardens,Not Applicable,A tiny burrowing snake often mistaken for an earthworm in loose soil.
Brahminy Blind Snake,Indotyphlops braminus,0,All Indian States,Slender,Glossy,Blackish,Rounded,Minute,Underground,Not Applicable,"A widespread blind snake commonly found beneath stones, flowerpots, and moist soil."
Beaked Worm Snake,Grypotyphlops acutus,0,Tamil Nadu; Kerala; Karnataka; Andhra Pradesh,Cylindrical,Polished,Pinkbrown,Beaked,Tiny,Scrublands,Not Applicable,A fossorial snake recognized by its pointed beak-like snout for digging.
Slender Worm Snake,Myriopholis macrorhyncha,0,Rajasthan; Gujarat; Maharashtra,Needlelike,Satin,Sandy,Narrow,Small,Deserts,Not Applicable,A delicate underground snake adapted to loose sandy and dry environments.
Thread Snake,Leptotyphlops scutifrons,0,Not Naturally Found in India,Hairlike,Sleek,Grayish,Spadelike,Toothless,Grasslands,Not Applicable,A tiny burrowing snake resembling a thread due to its extremely thin body.
Blind Burrowing Snake,Argyrophis diardii,0,Assam; West Bengal; Odisha; Kerala,Cylindrical,Smooth,Darkgray,Blunt,Toothless,Underground,Not Applicable,A fossorial blind snake spending most of its life beneath loose moist soil.
Tiny Blind Snake,Indotyphlops porrectus,0,Tamil Nadu; Kerala; Karnataka,Hairlike,Glossy,Brownish,Rounded,Minute,Gardens,Not Applicable,A very small underground snake commonly hidden beneath rocks and garden debris.
Long-tailed Blind Snake,Argyrophis oxycephalus,0,Assam; Arunachal Pradesh; Nagaland,Slender,Polished,Purplish,Pointed,Tiny,Rainforests,Not Applicable,A secretive blind snake distinguished by its unusually elongated tail region.
Flowerpot Snake,Indotyphlops braminus,0,All Indian States,Threadlike,Sleek,Black,Rounded,Toothless,Flowerpots,Not Applicable,A tiny parthenogenetic snake frequently transported through soil and potted plants.
Earth Snake,Trachischium monticola,0,Sikkim; Arunachal Pradesh; Meghalaya; Nagaland,Compact,Rough,Earthbrown,Flattened,Small,Leaflitter,Not Applicable,A small ground-dwelling snake adapted to cool moist forest floor habitats.
Ornate Flying Snake,Chrysopelea ornata,0,Assam; West Bengal; Kerala; Karnataka; Tamil Nadu,Flattened,Patterned,Greenyellow,Elongated,Rearfanged,Trees,Not Applicable,A gliding arboreal snake capable of moving between trees through controlled aerial motion.
Paradise Flying Snake,Chrysopelea paradisi,0,Andaman Islands; Nicobar Islands,Ribbonlike,Glossy,Blackgreen,Narrow,Curved,Rainforests,Not Applicable,A beautifully patterned flying snake known for impressive gliding abilities among forest canopies.
Twin-barred Tree Snake,Chrysopelea pelias,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slender,Banded,Bronzegreen,Pointed,Sharp,Woodlands,Not Applicable,A small arboreal snake recognized by paired dark bands across its body.
Golden Tree Snake,Chrysopelea ornata ornata,0,Kerala; Karnataka; Tamil Nadu; Goa,Flexible,Satin,Golden,Oval,Tiny,Canopies,Not Applicable,A striking tree snake commonly observed gliding through tropical forest vegetation.
Green Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Lean,Smooth,Brightgreen,Rounded,Minute,Forests,Not Applicable,A fast-moving arboreal snake adapted for camouflage among green foliage.
Slender Tree Snake,Dendrelaphis caudolineatus,0,Assam; West Bengal; Kerala; Karnataka; Tamil Nadu,Whiplike,Glossy,Olivegreen,Pointed,Tiny,Canopies,Not Applicable,A highly agile arboreal snake commonly active during daytime among tree branches.
Forest Vine Snake,Ahaetulla perroteti,0,Kerala; Karnataka; Tamil Nadu,Threadlike,Smooth,Leafgreen,Elongated,Rearward,Rainforests,Not Applicable,A slender forest snake using camouflage to remain hidden within dense vegetation.
Bamboo Tree Snake,Chrysopelea taprobanica,0,Kerala; Tamil Nadu; Karnataka,Flexible,Striped,Bamboogreen,Narrow,Sharp,Bamboo,Not Applicable,An arboreal snake frequently associated with bamboo groves and tropical forests.
Spotted Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Slim,Spotted,Greenish,Rounded,Minute,Woodlands,Not Applicable,A fast-moving tree snake displaying scattered body spots and arboreal habits.
Bridle Snake,Dryocalamus nympha,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Compact,Polished,Darkbrown,Blunt,Tiny,Shrublands,Not Applicable,A small nocturnal tree snake recognized by pale markings around its neck region.
Hill Tree Snake,Dendrelaphis chairecacos,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slender,Textured,Olivebrown,Pointed,Tiny,Hillsides,Not Applicable,An agile arboreal snake commonly inhabiting hilly forest and shrub-covered terrains.
Flying Vine Snake,Chrysopelea paradisi,0,Andaman Islands; Nicobar Islands,Ribbonlike,Glossy,Greenblack,Narrow,Curved,Canopies,Not Applicable,A gliding tree snake capable of traveling between branches through aerial movement.
Long-headed Tree Snake,Ahaetulla longirostris,0,Kerala; Karnataka; Tamil Nadu,Needlelike,Smooth,Leafy,Longheaded,Rearward,Rainforests,Not Applicable,A vine snake distinguished by its elongated head and excellent camouflage abilities.
Forest Bronzeback,Dendrelaphis bifrenalis,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Satin,Bronzegreen,Oval,Small,Forests,Not Applicable,A swift arboreal snake active during daytime within humid tropical forests.
Yellow Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Lean,Glossy,Yellowgreen,Rounded,Minute,Woodlands,Not Applicable,A brightly colored tree snake commonly inhabiting forested and shrub-rich environments.
Checkered Water Snake,Fowlea piscator,0,Assam; Bihar; West Bengal; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Checkered,Brown,Narrow,Toothlike,Rivers,Not Applicable,"A common freshwater snake frequently seen swimming near rivers, ponds, and wetlands."
Smooth Water Snake,Enhydris plumbea,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Graybrown,Blunt,Minute,Ponds,Not Applicable,"A harmless aquatic snake inhabiting ponds, marshes, and slow-moving freshwater habitats."
Dog-faced Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Kerala; Tamil Nadu,Stout,Keeled,Brown,Doglike,Small,Mangroves,Not Applicable,A non-venomous coastal water snake commonly found in muddy estuarine environments.
Mud Snake,Farancia abacura,0,Not Naturally Found in India,Cylindrical,Glossy,Blackred,Flattened,Tiny,Swamps,Not Applicable,A secretive aquatic snake usually inhabiting muddy marshes and swamp ecosystems.
Freshwater Snake,Xenochrophis piscator,0,Assam; Odisha; Bihar; Tamil Nadu; Kerala,Flexible,Rough,Olive,Narrow,Sharp,Lakes,Not Applicable,A widespread non-venomous snake often hunting fish and frogs in freshwater habitats.
Reed Snake,Calamaria reedi,0,Assam; Arunachal Pradesh; Meghalaya; Nagaland,Slender,Smooth,Brownish,Blunt,Tiny,Reedbeds,Not Applicable,A small secretive snake commonly hidden within reeds and moist grassy habitats.
Marsh Snake,Xenochrophis cerasogaster,0,West Bengal; Assam; Odisha; Bihar,Flexible,Glossy,Darkolive,Rounded,Minute,Marshes,Not Applicable,A semi-aquatic snake usually inhabiting marshlands and shallow freshwater wetlands.
Rice Paddy Snake,Fowlea piscator,0,Assam; West Bengal; Odisha; Tamil Nadu; Kerala,Muscular,Keeled,Checkered,Flattened,Sharp,Paddyfields,Not Applicable,A common water snake frequently seen hunting frogs and fish in rice fields.
Mangrove Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Tamil Nadu,Stout,Rough,Graybrown,Doglike,Small,Mangroves,Not Applicable,A coastal snake adapted to muddy mangrove forests and brackish estuarine waters.
River Snake,Atretium schistosum,0,Kerala; Karnataka; Tamil Nadu; Andhra Pradesh,Elongated,Satin,Olivegreen,Narrow,Tiny,Rivers,Not Applicable,A harmless semi-aquatic snake commonly found near flowing freshwater river systems.
Stream Snake,Opisthotropis maculosa,0,Arunachal Pradesh; Nagaland; Meghalaya; Manipur,Slender,Textured,Darkbrown,Blunt,Minute,Streams,Not Applicable,A secretive freshwater snake inhabiting rocky hill streams and forest waterways.
Pond Snake,Enhydris plumbea,0,Tamil Nadu; Kerala; Andhra Pradesh; Odisha,Compact,Smooth,Grayolive,Rounded,Tiny,Ponds,Not Applicable,A harmless aquatic snake commonly living in ponds and stagnant freshwater habitats.
Wetland Snake,Fowlea piscator,0,Assam; Bihar; West Bengal; Kerala; Tamil Nadu,Flexible,Keeled,Checkered,Narrow,Sharp,Wetlands,Not Applicable,"A widespread water snake frequently found near marshes, lakes, and wetland regions."
Coastal Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Tamil Nadu,Robust,Rough,Browngray,Doglike,Small,Coastlines,Not Applicable,A mangrove-associated water snake adapted for muddy coastal and brackish environments.
Estuarine Snake,Gerarda prevostiana,0,Andaman Islands; Nicobar Islands; Odisha,Flattened,Granular,Olivebrown,Short,Tiny,Estuaries,Not Applicable,A crab-eating aquatic snake specialized for estuarine and tidal mudflat habitats.
Saltwater Snake,Hydrophis schistosus,1,Gujarat; Maharashtra; Kerala; Tamil Nadu; Odisha,Compressed,Smooth,Grayish,Broad,Curved,Seacoasts,Sea Snake Antivenom,A highly venomous marine snake adapted for life in warm coastal waters.
Delta Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh,Stout,Rough,Mudbrown,Flattened,Small,Deltas,Not Applicable,A brackish-water snake commonly inhabiting river deltas and muddy estuarine habitats.
Swamp Snake,Enhydris enhydris,0,Assam; West Bengal; Kerala; Odisha,Flexible,Glossy,Darkolive,Rounded,Tiny,Swamps,Not Applicable,A harmless aquatic snake usually found in marshes and swampy freshwater regions.
Water Kukri Snake,Oligodon taeniolatus,0,Assam; Odisha; West Bengal; Kerala,Slim,Banded,Brownish,Oval,Bladelike,Wetlands,Not Applicable,A small kukri snake occasionally found near moist wetlands and shallow water bodies.
Aquatic Keelback,Fowlea piscator,0,Assam; Bihar; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Keeled,Checkered,Narrow,Sharp,Rivers,Not Applicable,A common freshwater keelback frequently hunting fish and amphibians in rivers.
Himalayan Rat Snake,Elaphe hodgsonii,0,Uttarakhand; Himachal Pradesh; Sikkim; Arunachal Pradesh,Lengthy,Keeled,Olivebrown,Narrow,Small,Mountains,Not Applicable,A cool-region rat snake commonly inhabiting Himalayan forests and rocky terrains.
Himalayan Trinket Snake,Coelognathus helena monticollaris,0,Sikkim; Arunachal Pradesh; Meghalaya,Slender,Glossy,Bronzebrown,Oval,Curved,Hillsides,Not Applicable,A patterned non-venomous snake adapted to humid hilly forest environments.
Himalayan Wolf Snake,Lycodon mackinnoni,0,Uttarakhand; Himachal Pradesh; Sikkim,Compact,Satin,Grayblack,Flattened,Tiny,Woodlands,Not Applicable,A nocturnal harmless snake usually hidden beneath stones and forest debris.
Himalayan Cat Snake,Boiga multifasciata,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Flexible,Banded,Browngray,Triangular,Rearfanged,Cloudforests,Not Applicable,A climbing snake active during nighttime in cool mountainous forest habitats.
Himalayan Vine Snake,Ahaetulla nasuta,0,Uttarakhand; Sikkim; Arunachal Pradesh,Threadlike,Smooth,Leafgreen,Pointed,Rearward,Canopies,Not Applicable,A slender arboreal snake using camouflage among Himalayan forest vegetation.
Forest Cobra,Naja melanoleuca,1,Not Naturally Found in India,Lengthy,Smooth,Blackwhite,Hooded,Fixed,Rainforests,Forest Cobra Antivenom,A large highly venomous cobra commonly inhabiting dense tropical African forests.
Hill Keelback,Hebius xenura,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Slender,Keeled,Olivebrown,Rounded,Tiny,Hillsides,Not Applicable,A cool-region keelback usually found near moist hill streams and forests.
Mountain Bronzeback,Dendrelaphis subocularis,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Lean,Glossy,Bronzegold,Pointed,Small,Mountains,Not Applicable,An agile arboreal snake inhabiting elevated forested mountain environments.
Cloud Forest Snake,Opisthotropis typica,0,Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Textured,Grayolive,Blunt,Minute,Cloudforests,Not Applicable,A secretive forest snake adapted to cool humid cloud forest ecosystems.
Nilgiri Forest Snake,Xylophis captaini,0,Tamil Nadu; Kerala,Compact,Satin,Darkbrown,Flattened,Tiny,Leaflitter,Not Applicable,A small endemic forest-floor snake inhabiting the Nilgiri and Western Ghats regions.
Khasi Hill Snake,Hebius khasiensis,0,Meghalaya; Assam,Slender,Keeled,Olivegreen,Rounded,Tiny,Hillsides,Not Applicable,A small hill-dwelling snake commonly inhabiting moist Khasi forest environments.
Arunachal Green Snake,Gonyosoma prasinum,0,Arunachal Pradesh; Assam,Lean,Glossy,Green,Pointed,Small,Rainforests,Not Applicable,A bright green arboreal snake adapted to dense northeastern forest canopies.
Sikkim Mountain Snake,Elaphe hodgsonii,0,Sikkim; Arunachal Pradesh,Robust,Textured,Browngray,Oval,Curved,Mountains,Not Applicable,A cool-climate snake inhabiting rocky mountainous forests and valleys.
Assam Forest Snake,Boiga gokool,0,Assam; Nagaland; Meghalaya,Flexible,Smooth,Darkolive,Triangular,Rearfanged,Forests,Not Applicable,A nocturnal forest snake commonly active among dense tropical vegetation.
Darjeeling Snake,Amphiesma platyceps,0,West Bengal; Sikkim,Compact,Striped,Graygreen,Blunt,Tiny,Woodlands,Not Applicable,A harmless snake adapted to cool woodland habitats around Darjeeling hills.
Eastern Hill Snake,Hebius venningi,0,Arunachal Pradesh; Nagaland; Manipur; Meghalaya,Slender,Keeled,Olivebrown,Rounded,Tiny,Hillsides,Not Applicable,A hill-dwelling snake commonly found near moist eastern Himalayan forests and streams.
Western Ghats Snake,Xylophis perroteti,0,Kerala; Karnataka; Tamil Nadu,Compact,Smooth,Darkgray,Blunt,Minute,Leaflitter,Not Applicable,A secretive forest-floor snake endemic to the Western Ghats mountain range.
Evergreen Forest Snake,Boiga forsteni,0,Assam; Odisha; Kerala; Karnataka; Tamil Nadu,Flexible,Glossy,Olivegreen,Triangular,Rearfanged,Evergreenforests,Not Applicable,An arboreal nocturnal snake commonly inhabiting dense evergreen forest ecosystems.
Highland Bamboo Snake,Trimeresurus gramineus,1,Kerala; Karnataka; Tamil Nadu,Lean,Matte,Green,Broad,Curved,Bamboo,Not Applicable,A venomous pit viper frequently resting among bamboo vegetation in hilly forests.
Mist Forest Snake,Opisthotropis maculosa,0,Arunachal Pradesh; Meghalaya; Nagaland,Slim,Textured,Grayolive,Flattened,Tiny,Cloudforests,Not Applicable,A secretive snake adapted to cool misty forests and rocky stream habitats.
Indian Dwarf Snake,Eirenis modestus,0,Jammu and Kashmir; Rajasthan,Tiny,Smooth,Sandy,Rounded,Minute,Scrublands,Not Applicable,A very small harmless snake adapted to dry rocky and scrub-covered habitats.
Indian Black Snake,Sibynophis subpunctatus,0,Kerala; Karnataka; Tamil Nadu; Goa,Slender,Glossy,Black,Narrow,Tiny,Woodlands,Not Applicable,A secretive non-venomous snake usually active beneath leaf litter and loose soil.
Brown Snake,Pseudorabdion longiceps,0,Kerala; Tamil Nadu; Karnataka,Compact,Satin,Brown,Blunt,Small,Leaflitter,Not Applicable,A fossorial forest snake commonly hidden beneath damp leaves and decaying vegetation.
Speckled Brown Snake,Stoliczkaia khasiensis,0,Assam; Meghalaya; Arunachal Pradesh,Flexible,Speckled,Brownish,Oval,Minute,Rainforests,Not Applicable,A rare forest snake displaying fine speckled markings across its brown body.
Black-striped Snake,Liopeltis calamaria,0,Maharashtra; Kerala; Karnataka; Tamil Nadu,Lean,Striped,Darkbrown,Pointed,Tiny,Grasslands,Not Applicable,A slender harmless snake recognized by dark longitudinal stripes along its body.
Ring-necked Snake,Diadophis punctatus,0,Not Naturally Found in India,Slender,Smooth,Grayblack,Rounded,Tiny,Woodlands,Not Applicable,A small harmless snake recognized by the distinct colored ring around its neck.
Reed Snake,Calamaria reedi,0,Assam; Arunachal Pradesh; Meghalaya; Nagaland,Thin,Glossy,Brownish,Blunt,Minute,Reedbeds,Not Applicable,A secretive snake usually hidden among reeds and damp grassy vegetation.
Forest Ground Snake,Pseudorabdion montanum,0,Kerala; Karnataka; Tamil Nadu,Compact,Satin,Darkolive,Flattened,Small,Leaflitter,Not Applicable,A small forest-floor snake adapted to moist leaf-covered ground habitats.
